,COCLSACT
658,BLANK (NO ANSWER)
659,NEVER USED COCAINE
660,NEVER USED COCAINE
661,NEVER USED COCAINE
662,NEVER USED COCAINE
663,NEVER USED COCAINE
664,NEVER USED COCAINE
665,DID NOT USE COCAINE IN THE PAST 12 MOS
666,NEVER USED COCAINE
667,NEVER USED COCAINE
668,NEVER USED COCAINE
669,NEVER USED COCAINE
670,NEVER USED COCAINE
671,NEVER USED COCAINE
672,NEVER USED COCAINE
673,NEVER USED COCAINE
674,NEVER USED COCAINE
675,NEVER USED COCAINE
676,DID NOT USE COCAINE IN THE PAST 12 MOS
677,NEVER USED COCAINE
678,NEVER USED COCAINE
679,NEVER USED COCAINE
680,NEVER USED COCAINE
681,No
682,NEVER USED COCAINE
683,NEVER USED COCAINE
684,NEVER USED COCAINE
685,NEVER USED COCAINE
686,DID NOT USE COCAINE IN THE PAST 12 MOS
687,NEVER USED COCAINE
688,NEVER USED COCAINE
689,NEVER USED COCAINE
690,NEVER USED COCAINE
691,NEVER USED COCAINE
692,NEVER USED COCAINE
693,NEVER USED COCAINE
694,NEVER USED COCAINE
695,NEVER USED COCAINE
696,NEVER USED COCAINE
697,NEVER USED COCAINE
698,Yes
699,NEVER USED COCAINE
700,NEVER USED COCAINE
701,NEVER USED COCAINE
702,NEVER USED COCAINE
703,NEVER USED COCAINE
704,NEVER USED COCAINE
705,DID NOT USE COCAINE IN THE PAST 12 MOS
706,NEVER USED COCAINE
707,NEVER USED COCAINE
708,NEVER USED COCAINE
709,NEVER USED COCAINE
710,NEVER USED COCAINE
711,NEVER USED COCAINE
712,NEVER USED COCAINE
713,DID NOT USE COCAINE IN THE PAST 12 MOS
714,DID NOT USE COCAINE IN THE PAST 12 MOS
715,NEVER USED COCAINE
716,NEVER USED COCAINE
717,NEVER USED COCAINE
718,NEVER USED COCAINE
719,NEVER USED COCAINE
720,NEVER USED COCAINE
721,NEVER USED COCAINE
722,NEVER USED COCAINE
723,No
724,NEVER USED COCAINE
725,NEVER USED COCAINE
726,NEVER USED COCAINE
727,NEVER USED COCAINE
728,NEVER USED COCAINE
729,NEVER USED COCAINE
730,NEVER USED COCAINE
731,NEVER USED COCAINE
732,NEVER USED COCAINE
733,NEVER USED COCAINE
734,NEVER USED COCAINE
735,NEVER USED COCAINE
736,NEVER USED COCAINE
737,NEVER USED COCAINE
738,NEVER USED COCAINE
739,NEVER USED COCAINE
740,NEVER USED COCAINE
741,NEVER USED COCAINE
742,NEVER USED COCAINE
743,NEVER USED COCAINE
744,NEVER USED COCAINE
745,NEVER USED COCAINE
746,NEVER USED COCAINE
747,No
748,DID NOT USE COCAINE IN THE PAST 12 MOS
749,NEVER USED COCAINE
750,NEVER USED COCAINE
751,NEVER USED COCAINE
752,NEVER USED COCAINE
753,DID NOT USE COCAINE IN THE PAST 12 MOS
754,DID NOT USE COCAINE IN THE PAST 12 MOS
755,NEVER USED COCAINE
756,DID NOT USE COCAINE IN THE PAST 12 MOS
757,NEVER USED COCAINE
758,NEVER USED COCAINE
759,NEVER USED COCAINE
760,NEVER USED COCAINE
761,NEVER USED COCAINE
762,NEVER USED COCAINE
763,NEVER USED COCAINE
764,NEVER USED COCAINE
765,DID NOT USE COCAINE IN THE PAST 12 MOS
766,NEVER USED COCAINE
767,NEVER USED COCAINE
768,NEVER USED COCAINE
769,NEVER USED COCAINE
770,NEVER USED COCAINE
771,DID NOT USE COCAINE IN THE PAST 12 MOS
772,NEVER USED COCAINE
773,NEVER USED COCAINE
774,NEVER USED COCAINE
775,NEVER USED COCAINE
776,NEVER USED COCAINE
777,NEVER USED COCAINE
778,NEVER USED COCAINE
779,NEVER USED COCAINE
780,NEVER USED COCAINE
781,NEVER USED COCAINE
782,NEVER USED COCAINE
783,NEVER USED COCAINE
784,NEVER USED COCAINE
785,NEVER USED COCAINE
786,NEVER USED COCAINE
787,NEVER USED COCAINE
788,NEVER USED COCAINE
789,NEVER USED COCAINE
790,NEVER USED COCAINE
791,NEVER USED COCAINE
792,NEVER USED COCAINE
793,NEVER USED COCAINE
794,NEVER USED COCAINE
795,NEVER USED COCAINE
796,NEVER USED COCAINE
797,NEVER USED COCAINE
798,NEVER USED COCAINE
799,NEVER USED COCAINE
800,NEVER USED COCAINE
801,NEVER USED COCAINE
802,DID NOT USE COCAINE IN THE PAST 12 MOS
803,NEVER USED COCAINE
804,NEVER USED COCAINE
805,NEVER USED COCAINE
806,DID NOT USE COCAINE IN THE PAST 12 MOS
807,NEVER USED COCAINE
808,NEVER USED COCAINE
809,NEVER USED COCAINE
810,NEVER USED COCAINE
811,NEVER USED COCAINE
812,NEVER USED COCAINE
813,NEVER USED COCAINE
814,NEVER USED COCAINE
815,NEVER USED COCAINE
816,NEVER USED COCAINE
817,DID NOT USE COCAINE IN THE PAST 12 MOS
818,NEVER USED COCAINE
819,NEVER USED COCAINE
820,NEVER USED COCAINE
821,No
