,COCYR
385,"Did not use in the past year (IRCOCRC = 3,9)"
386,"Did not use in the past year (IRCOCRC = 3,9)"
387,"Did not use in the past year (IRCOCRC = 3,9)"
388,"Did not use in the past year (IRCOCRC = 3,9)"
389,"Did not use in the past year (IRCOCRC = 3,9)"
390,"Did not use in the past year (IRCOCRC = 3,9)"
391,"Did not use in the past year (IRCOCRC = 3,9)"
392,"Did not use in the past year (IRCOCRC = 3,9)"
393,"Did not use in the past year (IRCOCRC = 3,9)"
394,"Did not use in the past year (IRCOCRC = 3,9)"
395,"Did not use in the past year (IRCOCRC = 3,9)"
396,"Did not use in the past year (IRCOCRC = 3,9)"
397,"Did not use in the past year (IRCOCRC = 3,9)"
398,"Did not use in the past year (IRCOCRC = 3,9)"
399,"Did not use in the past year (IRCOCRC = 3,9)"
400,"Did not use in the past year (IRCOCRC = 3,9)"
401,"Did not use in the past year (IRCOCRC = 3,9)"
402,"Did not use in the past year (IRCOCRC = 3,9)"
403,"Did not use in the past year (IRCOCRC = 3,9)"
404,"Did not use in the past year (IRCOCRC = 3,9)"
405,"Did not use in the past year (IRCOCRC = 3,9)"
406,"Did not use in the past year (IRCOCRC = 3,9)"
407,"Did not use in the past year (IRCOCRC = 3,9)"
408,"Did not use in the past year (IRCOCRC = 3,9)"
409,"Did not use in the past year (IRCOCRC = 3,9)"
410,"Did not use in the past year (IRCOCRC = 3,9)"
411,"Did not use in the past year (IRCOCRC = 3,9)"
412,"Did not use in the past year (IRCOCRC = 3,9)"
413,"Did not use in the past year (IRCOCRC = 3,9)"
414,"Did not use in the past year (IRCOCRC = 3,9)"
415,"Did not use in the past year (IRCOCRC = 3,9)"
416,"Did not use in the past year (IRCOCRC = 3,9)"
417,"Did not use in the past year (IRCOCRC = 3,9)"
418,"Did not use in the past year (IRCOCRC = 3,9)"
419,"Did not use in the past year (IRCOCRC = 3,9)"
420,"Did not use in the past year (IRCOCRC = 3,9)"
421,"Did not use in the past year (IRCOCRC = 3,9)"
422,"Did not use in the past year (IRCOCRC = 3,9)"
423,"Did not use in the past year (IRCOCRC = 3,9)"
424,"Did not use in the past year (IRCOCRC = 3,9)"
425,"Did not use in the past year (IRCOCRC = 3,9)"
426,"Did not use in the past year (IRCOCRC = 3,9)"
427,"Did not use in the past year (IRCOCRC = 3,9)"
428,"Did not use in the past year (IRCOCRC = 3,9)"
429,"Did not use in the past year (IRCOCRC = 3,9)"
430,"Did not use in the past year (IRCOCRC = 3,9)"
431,"Did not use in the past year (IRCOCRC = 3,9)"
432,"Did not use in the past year (IRCOCRC = 3,9)"
433,"Did not use in the past year (IRCOCRC = 3,9)"
434,"Did not use in the past year (IRCOCRC = 3,9)"
435,"Did not use in the past year (IRCOCRC = 3,9)"
436,"Did not use in the past year (IRCOCRC = 3,9)"
437,"Did not use in the past year (IRCOCRC = 3,9)"
438,"Did not use in the past year (IRCOCRC = 3,9)"
439,"Did not use in the past year (IRCOCRC = 3,9)"
440,"Did not use in the past year (IRCOCRC = 3,9)"
441,"Did not use in the past year (IRCOCRC = 3,9)"
442,"Did not use in the past year (IRCOCRC = 3,9)"
443,"Did not use in the past year (IRCOCRC = 3,9)"
444,"Did not use in the past year (IRCOCRC = 3,9)"
445,"Did not use in the past year (IRCOCRC = 3,9)"
446,"Did not use in the past year (IRCOCRC = 3,9)"
447,"Did not use in the past year (IRCOCRC = 3,9)"
448,"Did not use in the past year (IRCOCRC = 3,9)"
449,"Did not use in the past year (IRCOCRC = 3,9)"
450,"Did not use in the past year (IRCOCRC = 3,9)"
451,"Did not use in the past year (IRCOCRC = 3,9)"
452,"Did not use in the past year (IRCOCRC = 3,9)"
453,"Did not use in the past year (IRCOCRC = 3,9)"
454,"Did not use in the past year (IRCOCRC = 3,9)"
455,"Did not use in the past year (IRCOCRC = 3,9)"
456,"Did not use in the past year (IRCOCRC = 3,9)"
457,"Did not use in the past year (IRCOCRC = 3,9)"
458,"Did not use in the past year (IRCOCRC = 3,9)"
459,"Did not use in the past year (IRCOCRC = 3,9)"
460,"Did not use in the past year (IRCOCRC = 3,9)"
461,"Did not use in the past year (IRCOCRC = 3,9)"
462,"Did not use in the past year (IRCOCRC = 3,9)"
463,"Did not use in the past year (IRCOCRC = 3,9)"
464,"Did not use in the past year (IRCOCRC = 3,9)"
465,"Did not use in the past year (IRCOCRC = 3,9)"
466,"Did not use in the past year (IRCOCRC = 3,9)"
467,"Did not use in the past year (IRCOCRC = 3,9)"
468,"Did not use in the past year (IRCOCRC = 3,9)"
469,"Did not use in the past year (IRCOCRC = 3,9)"
470,"Did not use in the past year (IRCOCRC = 3,9)"
471,"Did not use in the past year (IRCOCRC = 3,9)"
472,"Did not use in the past year (IRCOCRC = 3,9)"
473,"Did not use in the past year (IRCOCRC = 3,9)"
474,"Did not use in the past year (IRCOCRC = 3,9)"
475,"Did not use in the past year (IRCOCRC = 3,9)"
476,"Did not use in the past year (IRCOCRC = 3,9)"
477,"Did not use in the past year (IRCOCRC = 3,9)"
478,"Did not use in the past year (IRCOCRC = 3,9)"
479,"Did not use in the past year (IRCOCRC = 3,9)"
480,"Did not use in the past year (IRCOCRC = 3,9)"
481,"Did not use in the past year (IRCOCRC = 3,9)"
482,"Did not use in the past year (IRCOCRC = 3,9)"
483,"Did not use in the past year (IRCOCRC = 3,9)"
484,"Did not use in the past year (IRCOCRC = 3,9)"
485,"Did not use in the past year (IRCOCRC = 3,9)"
486,"Did not use in the past year (IRCOCRC = 3,9)"
487,"Did not use in the past year (IRCOCRC = 3,9)"
488,"Did not use in the past year (IRCOCRC = 3,9)"
489,"Did not use in the past year (IRCOCRC = 3,9)"
490,"Did not use in the past year (IRCOCRC = 3,9)"
491,"Did not use in the past year (IRCOCRC = 3,9)"
492,"Did not use in the past year (IRCOCRC = 3,9)"
493,"Did not use in the past year (IRCOCRC = 3,9)"
494,"Did not use in the past year (IRCOCRC = 3,9)"
495,"Did not use in the past year (IRCOCRC = 3,9)"
496,"Did not use in the past year (IRCOCRC = 3,9)"
497,"Did not use in the past year (IRCOCRC = 3,9)"
